gauge,1,2,3,4,5,6,7 RLE,8 lag1,s1,s2,s3,s4,s5,s6,s7 RLE,s8 lag1
01013500.csv,0,6.48012062534719,5.89413538608047,5.87445440838029,5.87445440838029,5.78779461947464,2.62804539322276,2.62868026347115,0,6.48012062534719,5.89413538608047,5.87445440838029,5.87445440838029,5.87477184350448,7.04007618442981,7.02864851995873
01022500.csv,0,5.73033886199508,5.20434886120149,5.19831759384176,5.19863502896596,5.0859455598762,3.64320292040314,3.69494484564717,0,5.73033886199508,5.20434886120149,5.19831759384176,5.19863502896596,5.19895246409015,6.29632568843743,6.29473851281644
01030500.csv,0,6.73756051107055,6.12141893500516,6.12173637012936,6.08618363621935,5.90270613443378,3.73367193079914,3.82096658995318,0,6.73756051107055,6.12141893500516,6.12173637012936,6.08618363621935,6.08650107134354,7.3302118879454,7.33624315530513
01031500.csv,0,4.62852154590905,3.85334497262122,3.85366240774542,3.73018014443298,3.22006189984922,3.02960082533132,2.70200777716054,0,4.62852154590905,3.85334497262122,3.85366240774542,3.73018014443298,3.76573287834299,5.13737004999603,5.14625823347353
01047000.csv,0,4.62820411078486,3.95174986112213,3.95206729624633,3.80763431473693,3.35306721688755,3.13308467581938,2.82707721609396,0,4.62820411078486,3.95174986112213,3.95206729624633,3.80763431473693,3.84382191889533,5.18212840250774,5.19165145623363
01052500.csv,0,6.60049627791563,5.70719602977668,5.71712158808933,5.64764267990074,5.44913151364764,5.14143920595533,4.99255583126551,0,6.60049627791563,5.70719602977668,5.71712158808933,5.64764267990074,5.6575682382134,7.00744416873449,6.9181141439206
01054200.csv,0,5.11649412001206,3.94049653231481,3.94089858277214,3.7728414916072,3.32455523168158,3.35028646095085,3.40335712131873,0,5.11649412001206,3.94049653231481,3.94089858277214,3.7728414916072,3.88380741783094,5.1715750326666,5.1293597346467
01055000.csv,0,5.09610348385049,4.16093960796762,4.16125704309182,4.04158400126974,3.56130465836045,3.36766923260059,3.28069200857075,0,5.09610348385049,4.16093960796762,4.16125704309182,4.04158400126974,4.04063169589715,5.29735735259106,5.31386397904928
01057000.csv,0,4.56662169669074,3.9365129751607,3.9368304102849,3.85683675898738,3.34068724704389,3.12292675184509,2.8324736132053,0,4.56662169669074,3.9365129751607,3.9368304102849,3.85683675898738,3.96000317435124,5.14562336322514,5.1494325847155
01073000.csv,0,4.60376160622173,3.98730259503214,3.98762003015634,3.89715101976034,3.294024283787,3.11562574398857,2.85628124752004,0,4.60376160622173,3.98730259503214,3.98762003015634,3.89715101976034,3.93841758590588,5.21799857154194,5.22085548765971
