,7 RLE,8 lag1,cluster,Watershed_ID,Source,Name,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Drainage_Area_GSIM_km2,Flag_GSIM_boundaries,Flag_Artificial_Boundaries,Elevation_m,Slope_deg,Gravelius,Perimeter,Flag_Shape_Extraction,Aspect_deg,Flag_Terrain_Extraction,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Flag_Land_Use_Extraction,Permeability_logk_m2,Porosity_frac,Flag_Subsoil_Extraction
01013500,2.62804539322276,2.62868026347115,2,2384,USGS,"Fish River near Fort Kent, Maine",47.2375,-68.58277778,2261.0484,,0,0,276.7,4.1907,2.1053,353.318,1,118.9094,1,0.6843,0.0226,0.1023,0.063,0.0114,0.0646,0.0518,0.0,1,-14.6826112341173,0.170649751251457,1
01022500,3.64320292040314,3.69494484564717,1,2401,USGS,"Narraguagus River at Cherryfield, Maine",44.60805556,-67.93527778,587.9244,,0,0,101.3,2.1911,1.8346,158.21,1,144.3085,1,0.6475,0.0157,0.1659,0.0211,0.0135,0.0932,0.043,0.0,1,-14.2497539473285,0.071206897685277,1
01030500,3.73367193079914,3.82096658995318,1,2408,USGS,"Mattawamkeag River near Mattawamkeag, Maine",45.5011111,-68.3058333,3672.5849,,0,0,174.7,2.0224,1.7341,372.838,1,128.7126,1,0.6814,0.0047,0.194,0.0266,0.0184,0.0505,0.0244,0.0,1,-14.4637988581892,0.115298115649957,1
01031500,3.02960082533132,2.70200777716054,1,2411,USGS,"Piscataquis River near Dover-Foxcroft, Maine",45.175,-69.3147222,771.8126,,0,0,302.0,3.8634,1.8484,181.98,1,87.2516,1,0.7636,0.0054,0.0808,0.0215,0.0223,0.0894,0.0169,0.0,1,-14.8478546507323,0.074095148092775,1
01047000,3.13308467581938,2.82707721609396,1,2419,USGS,"Carrabassett River near North Anson, Maine",44.86916667,-69.955,914.2613,,0,0,378.0,6.5965,1.7452,187.343,1,85.5178,1,0.7966,0.0051,0.0692,0.0092,0.0257,0.0814,0.0127,0.0,1,-14.470458386257,0.053009478098714,1
01052500,5.14143920595533,4.99255583126551,0,2428,USGS,"Diamond River near Wentworth Location, NH",44.8775,-71.0575,393.6762,,0,0,647.3,8.7774,1.4336,101.272,1,137.5105,1,0.8817,0.0087,0.0358,0.003,0.0036,0.0672,0.0,0.0,1,-15.1740742294877,0.072574072938274,1
01054200,3.35028646095085,3.40335712131873,1,2429,USGS,"Wild River at Gilead, Maine",44.39055556,-70.9797222,180.2623,,0,0,631.8,12.338,1.3906,66.53,1,37.8678,1,0.987,0.0002,0.0075,0.0,0.0037,0.0016,0.0,0.0,1,-14.2153229021257,0.028870967291896,1
01055000,3.36766923260059,3.28069200857075,1,2431,USGS,"Swift River near Roxbury, Maine",44.64277778,-70.58888889,250.9686,,0,0,569.8,9.1186,1.4579,82.019,1,158.6394,1,0.8519,0.0109,0.0107,0.0014,0.015,0.1045,0.0056,0.0,1,-14.3521994425754,0.151114370619272,1
01057000,3.12292675184509,2.8324736132053,1,2434,USGS,"Little Androscoggin River near South Paris, Maine",44.30388889,-70.5397222,190.3632,,0,0,286.3,6.7756,1.3643,67.03,1,95.411,1,0.8297,0.0059,0.0485,0.0163,0.0432,0.0252,0.0312,0.0,1,-13.9864868252434,0.02270270228875,1
01073000,3.11562574398857,2.85628124752004,1,2453,USGS,"OYSTER RIVER NEAR DURHAM, NH",43.1486955,-70.9650603,31.3387,,0,0,66.1,1.9867,1.6709,33.48,1,109.3813,1,0.6134,0.0356,0.1303,0.0129,0.118,0.0279,0.0618,0.0,1,-14.1000003814697,0.009999999776483,1
